"id","name","country","artists_id/id"
musicstore_group_ATL,"All Time Low","Estados Unidos","musicstore_store_AWG,musicstore_store_JBB,musicstore_store_ZSM,musicstore_store_RDD"
musicstore_group_AGT,"All Good Things","Estados Unidos","musicstore_store_DDM,musicstore_store_AB,musicstore_store_LHB,musicstore_store_MF,musicstore_store_TS"
